msme_id,segment,elec_on_time_ratio,recharge_on_time_ratio,invoice_paid_on_time_ratio,supplier_on_time_ratio,business_days_open_ratio,monthly_upi_in_count,monthly_upi_in_amt,years_in_business,delivery_cancellations,avg_balance,min_balance_freq,monthly_revenue_variance,defaulted_12m
msme_000000,restaurant,0.8593,0.7253,0.6589,0.602,0.9647,32,2167.99,1.73,0,41984.73,0.075,0.39,0
msme_000001,restaurant,0.941,0.7304,0.3569,0.7712,0.9814,17,13036.95,8.82,0,9202.34,0.3646,0.1328,0
msme_000002,tailor,0.7739,0.6831,0.5807,0.6183,0.9223,35,33872.01,3.7,1,0.0,0.3251,0.4097,0
msme_000003,kirana,0.6688,0.7275,0.7699,0.6481,0.946,25,61323.41,1.95,1,17509.09,0.2132,0.0444,0
msme_000004,salon,0.5177,0.6596,0.6252,0.9189,0.8716,33,35842.56,3.59,0,4065.44,0.1984,0.2715,0
msme_000005,pharmacy,0.6933,0.9433,0.6437,0.7718,0.9128,31,20217.41,6.23,0,29848.3,0.3944,0.2275,0
msme_000006,kirana,0.8694,0.635,0.3013,0.5469,0.7528,29,67850.01,16.57,1,35683.57,0.1324,0.1475,0
msme_000007,salon,0.8229,0.4596,0.6435,0.6919,0.955,27,54125.57,0.18,1,7161.07,0.4039,0.1318,0
msme_000008,salon,0.6837,0.7961,0.3405,0.6601,0.9818,23,71643.88,3.98,2,51832.34,0.368,0.1071,0
msme_000009,restaurant,0.9663,0.5135,0.714,0.8626,0.9117,28,103325.83,14.19,2,0.0,0.2531,0.1307,0
msme_000010,pharmacy,0.8328,0.7193,0.5905,0.7769,0.8295,30,70337.74,1.93,1,15934.39,0.1113,0.4763,0
msme_000011,salon,0.6465,0.751,0.6461,0.7925,0.992,36,78858.86,14.71,2,12839.27,0.4028,0.1722,0
msme_000012,kirana,0.9606,0.629,0.6422,0.771,0.8692,17,104745.07,1.62,0,7875.53,0.0238,0.1767,0
msme_000013,tailor,0.6951,0.355,0.7594,0.3623,0.9631,37,80945.41,2.99,0,21804.43,0.1806,0.4664,0
msme_000014,mechanic,0.8868,0.8843,0.4082,0.9273,0.9696,30,90715.39,9.92,1,0.0,0.1404,0.2287,0
msme_000015,tailor,0.8235,0.5428,0.7967,0.7203,0.8792,33,45211.68,8.03,1,18315.08,0.1941,0.1754,0
msme_000016,mechanic,0.6933,0.7633,0.716,0.7818,0.7567,31,49800.68,0.45,1,42199.16,0.0823,0.639,0
msme_000017,pharmacy,0.8083,0.7583,0.5901,0.7192,0.9658,24,52483.31,4.24,0,31270.81,0.0921,0.0637,0
msme_000018,mechanic,0.9686,0.6511,0.7592,0.5844,0.7576,23,44923.87,13.93,0,21298.85,0.1672,0.3118,0
msme_000019,kirana,0.7579,0.5278,0.7898,0.5881,0.8647,27,57173.53,7.9,1,22727.99,0.2855,0.0856,0
msme_000020,salon,0.6915,0.5499,0.8607,0.7151,0.7943,23,111143.8,0.1,3,21938.32,0.1797,0.0443,0
msme_000021,pharmacy,0.7195,0.8118,0.7641,0.9591,0.9808,29,29538.14,0.97,1,16535.98,0.3456,0.4356,0
msme_000022,mechanic,0.8852,0.7398,0.3522,0.4268,0.7829,23,14812.21,5.16,1,8332.75,0.2934,0.2185,0
msme_000023,salon,0.8408,0.7153,0.5994,0.7837,0.731,27,94117.17,2.39,1,793.56,0.576,0.1297,0
msme_000024,mechanic,0.5468,0.8891,0.8143,0.8061,0.8175,37,91636.86,0.96,2,35215.55,0.1127,0.3737,0
msme_000025,restaurant,0.9213,0.7506,0.7374,0.582,0.8384,30,11051.19,8.55,2,13994.28,0.0233,0.1022,0
msme_000026,restaurant,0.7962,0.5916,0.6664,0.7717,0.97,36,47989.61,4.54,0,4362.73,0.3538,0.1377,0
msme_000027,mechanic,0.7051,0.8372,0.7717,0.8457,0.9572,25,1658.04,5.69,0,1889.06,0.207,0.6677,0
msme_000028,tailor,0.7051,0.7503,0.5765,0.8306,0.9746,31,40586.18,4.34,0,14561.97,0.2303,0.3322,0
msme_000029,pharmacy,0.7771,0.8672,0.3622,0.5775,0.9056,33,60140.44,9.07,2,30725.11,0.0958,0.2853,0
msme_000030,restaurant,0.7987,0.9093,0.8235,0.7815,0.9916,41,13962.64,0.35,0,14555.64,0.1422,0.0947,0
msme_000031,tailor,0.6549,0.8746,0.4796,0.8897,0.9531,41,19318.51,1.6,2,44902.05,0.1321,0.4482,0
msme_000032,tailor,0.8588,0.6767,0.6621,0.8266,0.9551,35,49642.77,3.04,0,17404.48,0.1857,0.4982,0
msme_000033,restaurant,0.8193,0.6385,0.6407,0.7902,0.8299,25,56887.76,6.13,0,8021.82,0.3773,0.1211,0
msme_000034,restaurant,0.7128,0.4906,0.564,0.8753,0.9871,29,64106.93,6.49,1,1613.52,0.0236,0.0836,0
msme_000035,restaurant,0.9472,0.8206,0.6736,0.5661,0.62,26,57980.58,1.97,1,19296.19,0.4242,0.245,0
msme_000036,restaurant,0.5945,0.758,0.7526,0.6849,0.8939,16,72908.19,3.03,1,25197.33,0.0807,0.1047,0
